Task,Mode,Participant,Run time,Created at,Robot count
varying_control,global,Mmkr1ORwLviTc-P2K5RS3Q,42.947,2013-08-23 03:27:42 UTC,16,""
pyramid_building,3.7,Mmkr1ORwLviTc-P2K5RS3Q,122.464,2013-08-23 03:35:15 UTC,8,""
maze_positioning,default,3r2Un75hG7BLfqaHZINMDg,75.509,2013-08-23 16:29:04 UTC,348,""
robot_positioning,default,3r2Un75hG7BLfqaHZINMDg,38.615,2013-08-23 16:29:55 UTC,5,""
pyramid_building,9.4,3r2Un75hG7BLfqaHZINMDg,398.602,2013-08-23 16:36:41 UTC,8,""
varying_visualization,mean & variance,3r2Un75hG7BLfqaHZINMDg,55.126,2013-08-23 16:37:47 UTC,100,""
varying_control,attractive,3r2Un75hG7BLfqaHZINMDg,58.577,2013-08-23 16:38:57 UTC,16,""
maze_positioning,default,3r2Un75hG7BLfqaHZINMDg,211.041,2013-08-23 16:42:39 UTC,7,""
varying_visualization,convex-hull,hZXrntqZcXpD7reDOze27A,92.835,2013-08-23 19:44:44 UTC,100,""
varying_control,repulsive,hZXrntqZcXpD7reDOze27A,76.855,2013-08-23 19:46:19 UTC,16,""
maze_positioning,default,hZXrntqZcXpD7reDOze27A,89.077,2013-08-23 19:49:43 UTC,42,""
maze_positioning,default,hZXrntqZcXpD7reDOze27A,34.865,2013-08-23 19:50:36 UTC,146,""
maze_positioning,default,hZXrntqZcXpD7reDOze27A,54.233,2013-08-23 19:51:36 UTC,396,""
maze_positioning,default,hZXrntqZcXpD7reDOze27A,30.561,2013-08-23 19:52:13 UTC,180,""
maze_positioning,default,hZXrntqZcXpD7reDOze27A,69.199,2013-08-23 19:53:29 UTC,385,""
varying_control,attractive,hZXrntqZcXpD7reDOze27A,176.606,2013-08-23 19:57:12 UTC,16,""
varying_visualization,full-state,QFF7FTFlPoWixjZyA90Phw,138.818,2013-08-23 20:06:46 UTC,100,""
pyramid_building,9.9,hZXrntqZcXpD7reDOze27A,227.223,2013-08-23 20:06:50 UTC,8,""
maze_positioning,default,kz-DZ0IFJoz3_zHN_xA9hg,50.802,2013-08-23 21:48:45 UTC,212,""
maze_positioning,default,kz-DZ0IFJoz3_zHN_xA9hg,53.595,2013-08-23 21:50:05 UTC,233,""
maze_positioning,default,HtwQvshU0Ss1f8yCgoXqRQ,82.348,2013-08-23 21:52:24 UTC,441,""
